node_id,industry_id,industry_name
605,116,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
606,117,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"
607,118,Hotels and restaurants (55)
608,119,Transport via railways
609,120,Other land transport
610,121,Transport via pipelines
611,122,Sea and coastal water transport
612,123,Inland water transport
613,124,Air transport (62)
614,125,Supporting and auxiliary transport activities; activities of travel agencies (63)
615,126,Post and telecommunications (64)
616,127,"Financial intermediation, except insurance and pension funding (65)"
617,128,"Insurance and pension funding, except compulsory social security (66)"
618,129,Activities auxiliary to financial intermediation (67)
619,130,Real estate activities (70)
620,131,Renting of machinery and equipment without operator and of personal and household goods (71)
621,132,Computer and related activities (72)
622,133,Research and development (73)
623,134,Other business activities (74)
624,135,Public administration and defence; compulsory social security (75)
625,136,Education (80)
626,137,Health and social work (85)
627,138,Incineration of waste: Food
628,139,Incineration of waste: Paper
629,140,Incineration of waste: Plastic
630,141,Incineration of waste: Metals and Inert materials
631,142,Incineration of waste: Textiles
632,143,Incineration of waste: Wood
633,144,Incineration of waste: Oil/Hazardous waste
634,145,"Biogasification of food waste, incl. land application"
635,146,"Biogasification of paper, incl. land application"
636,147,"Biogasification of sewage slugde, incl. land application"
637,148,"Composting of food waste, incl. land application"
638,149,"Composting of paper and wood, incl. land application"
639,150,"Waste water treatment, food"
640,151,"Waste water treatment, other"
641,152,Landfill of waste: Food
642,153,Landfill of waste: Paper
643,154,Landfill of waste: Plastic
644,155,Landfill of waste: Inert/metal/hazardous
645,156,Landfill of waste: Textiles
646,157,Landfill of waste: Wood
647,158,Activities of membership organisation n.e.c. (91)
648,159,"Recreational, cultural and sporting activities (92)"
649,160,Other service activities (93)
650,161,Private households with employed persons (95)
651,162,Extra-territorial organizations and bodies
652,0,Cultivation of paddy rice
653,1,Cultivation of wheat
654,2,Cultivation of cereal grains nec
655,3,"Cultivation of vegetables, fruit, nuts"
656,4,Cultivation of oil seeds
657,5,"Cultivation of sugar cane, sugar beet"
658,6,Cultivation of plant-based fibers
659,7,Cultivation of crops nec
660,8,Cattle farming
661,9,Pigs farming
662,10,Poultry farming
663,11,Meat animals nec
664,12,Animal products nec
665,13,Raw milk
666,14,"Wool, silk-worm cocoons"
667,15,"Manure treatment (conventional), storage and land application"
668,16,"Manure treatment (biogas), storage and land application"
669,17,"Forestry, logging and related service activities (02)"
670,18,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
671,19,Mining of coal and lignite; extraction of peat (10)
672,20,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
673,21,"Extraction of natural gas and services related to natural gas extraction, excluding surveying"
674,22,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
675,23,Mining of uranium and thorium ores (12)
676,24,Mining of iron ores
677,25,Mining of copper ores and concentrates
678,26,Mining of nickel ores and concentrates
679,27,Mining of aluminium ores and concentrates
680,28,Mining of precious metal ores and concentrates
681,29,"Mining of lead, zinc and tin ores and concentrates"
682,30,Mining of other non-ferrous metal ores and concentrates
683,31,Quarrying of stone
684,32,Quarrying of sand and clay
685,33,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
686,34,Processing of meat cattle
687,35,Processing of meat pigs
688,36,Processing of meat poultry
689,37,Production of meat products nec
690,38,Processing vegetable oils and fats
691,39,Processing of dairy products
692,40,Processed rice
693,41,Sugar refining
694,42,Processing of Food products nec
695,43,Manufacture of beverages
696,44,Manufacture of fish products
697,45,Manufacture of tobacco products (16)
698,46,Manufacture of textiles (17)
699,47,Manufacture of wearing apparel; dressing and dyeing of fur (18)
700,48,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
