,0
"('BE', 'Manufacture of machinery and equipment n.e.c. (29)')",28590.4242884
"('BE', 'Manufacture of office machinery and computers (30)')",6012.56726888
"('BE', 'Manufacture of electrical machinery and apparatus n.e.c. (31)')",0.0
"('BE', 'Manufacture of radio, television and communication equipment and apparatus (32)')",0.0
"('BE', 'Manufacture of medical, precision and optical instruments, watches and clocks (33)')",0.0
"('BE', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')",41107.5102422
"('BE', 'Manufacture of other transport equipment (35)')",6253.17710385
"('BE', 'Manufacture of furniture; manufacturing n.e.c. (36)')",1330.69693481
"('BE', 'Recycling of waste and scrap')",0.0
"('BE', 'Recycling of bottles by direct reuse')",0.0
"('BE', 'Production of electricity by coal')",4.91565826877
"('BE', 'Production of electricity by gas')",1712.62733029
"('BE', 'Production of electricity by nuclear')",2064.27673766
"('BE', 'Production of electricity by hydro')",16.0058629
"('BE', 'Production of electricity by wind')",765.164172503
"('BE', 'Production of electricity by petroleum and other oil derivatives')",7.13880426302
"('BE', 'Production of electricity by biomass and waste')",62.2859301045
"('BE', 'Production of electricity by solar photovoltaic')",306.029700757
"('BE', 'Production of electricity by solar thermal')",0.0
"('BE', 'Production of electricity by tide, wave, ocean')",0.0
"('BE', 'Production of electricity by Geothermal')",0.0
"('BE', 'Production of electricity nec')",0.659417570367
"('BE', 'Transmission of electricity')",1261.02588045
"('BE', 'Distribution and trade of electricity')",5949.20171923
"('BE', 'Manufacture of gas; distribution of gaseous fuels through mains')",416.169350372
"('BE', 'Steam and hot water supply')",94.4430175099
"('BE', 'Collection, purification and distribution of water (41)')",967.387382634
"('BE', 'Construction (45)')",98869.8390262
"('BE', 'Re-processing of secondary construction material into aggregates')",0.0
"('BE', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')",17323.4306404
"('BE', 'Retail sale of automotive fuel')",46.3867048303
"('BE', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')",65863.569515
"('BE', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')",35101.9783596
"('BE', 'Hotels and restaurants (55)')",30736.6377723
"('BE', 'Transport via railways')",13100.5520112
"('BE', 'Other land transport')",33599.1617534
"('BE', 'Transport via pipelines')",2202.68765033
